"first_name","last_name","hire_date"
"Jeane","Stentiford","12/9/86"
"Aamod","Gajiwala","10/26/86"
"Bedir","Ramsay","8/15/86"
"Weijing","Matteis","3/26/86"
"Zorica","Kushner","11/22/86"
"Jolita","Shanbhogue","10/12/86"
"Heng","Schlumberger","5/11/86"
"Kristin","Boyle","12/11/86"
"Shaz","Neimat","4/23/86"
"Toshimi","Menhoudj","12/6/86"
"Aiman","Ernst","12/5/86"
"Rosine","Ladret","3/22/86"
"Evgueni","Lyonns","12/20/86"
"Chenxi","Budinsky","4/18/86"
"Vasiliy","Rabehasaina","2/20/86"
"Steen","Snyers","4/9/86"
"Eishiro","Kaiser","1/28/86"
"Uli","Suwa","12/1/86"
"Fumiko","Krychniak","8/26/86"
"Fusako","Haddadi","11/21/86"
"Arun","Macedo","4/25/86"
"Ortrun","Randt","12/8/86"
"Kwangsub","Luga","3/11/86"
"Genevieve","Eiter","1/4/86"
"Dinah","Baja","10/23/86"
"Basant","Ballarin","8/30/86"
"Ortrud","Tibblin","9/24/86"
"Zhanqiu","Dichev","3/2/86"
"Tomoyuki","Huhdanpaa","1/30/86"
"Sajjan","Pena","4/25/86"
"Sanjai","Biran","12/17/86"
"Goo","Debuse","5/1/86"
"Doowon","Oberman","9/8/86"
"Shahaf","Denis","4/16/86"
"Ebbe","Henseler","12/22/86"
"Valeri","Unno","3/24/86"
"Sariel","Baaleh","5/24/86"
"Lena","Muntz","7/13/86"
"Rance","Pleszkun","10/11/86"
"Denny","Majewski","10/19/86"
"Toshimori","Matzen","7/6/86"
"KayLiang","Mitsuhashi","2/20/86"
"DAIDA","Pehl","7/6/86"
"Avishai","Rothe","5/16/86"
"Abdulah","Feldhoffer","6/1/86"
"Kazuyasu","Pettis","2/13/86"
"Shigeu","Huttel","9/18/86"
"Mohammed","Scharstein","12/14/86"
"Heekeun","Winter","6/9/86"
"Arfst","Suessmith","9/1/86"
"Arvin","Nanard","9/27/86"
"Spyrose","Yoshizawa","11/2/86"
"Masami","Feinberg","12/15/86"
"Sanjiv","Berztiss","4/17/86"
"Amstein","Kaiser","2/12/86"
"Boguslaw","Fandrianto","3/6/86"
"Ramzi","Papadias","2/17/86"
"Oguz","Cromarty","4/28/86"
"Khosrow","Jiang","10/6/86"
"Yuichiro","Olivero","8/16/86"
"Luigi","Bharadwaj","2/11/86"
"Limsoon","Bolotov","9/26/86"
"Tomofumi","Onuegbe","9/14/86"
"Saddek","Isaak","6/7/86"
"Arco","Basagni","10/27/86"
"Ugo","Kropp","8/19/86"
"Badri","Albarhamtoshy","11/28/86"
"Constantine","Sgarro","6/28/86"
"Franziska","Chiodo","1/26/86"
"Tadanori","Vural","2/7/86"
"Uri","Asmuth","1/1/86"
"Xiaopeng","Marchesini","3/8/86"
"Khatoun","Alpin","11/6/86"
"Tsvetan","Munawer","9/29/86"
"Almudena","Lindenbaum","11/10/86"
"Luise","Jahnichen","4/24/86"
"Nikolaos","Cyre","7/19/86"
"Genki","Comyn","11/19/86"
"Richard","Albarhamtoshy","10/28/86"
"Fumino","Serra","9/9/86"
"Xiadong","Schwaller","11/21/86"
"Seongbin","Kinley","7/3/86"
"Kersti","Borovoy","2/15/86"
"Murthy","Luca","6/5/86"
"Ebru","Eppinger","12/9/86"
"Berto","Chenney","9/22/86"
"Erzsebet","Kambil","12/12/86"
"Golgen","Biron","4/21/86"
"Nectarios","Monarch","5/7/86"
"Zhilian","Frezza","5/28/86"
"Shalesh","Stasinski","2/28/86"
"Xumin","Pulkowski","10/26/86"
"Yucai","Thimonier","7/8/86"
"Ronnie","Kitai","4/23/86"
"Ortrud","Fadgyas","9/19/86"
"Leah","Ferretti","12/23/86"
"Kagan","Collette","4/7/86"
"Siamak","Thibadeau","5/7/86"
"Nikolaus","Munck","11/13/86"
"Shuji","Boguraev","7/17/86"
"Trygve","Levasseur","9/30/86"
"Masaru","Gecseg","8/9/86"
"Josyula","Engelmann","2/21/86"
"Hitomi","Masand","2/7/86"
"Jasminko","Nicolson","8/2/86"
"Mara","Lukaszewicz","1/8/86"
"Stepehn","Openshaw","2/16/86"
"Baziley","Morrey","5/20/86"
"Francesca","Munawer","12/29/86"
"Vishu","Gecsei","11/6/86"
"Teiji","Herbst","6/4/86"
"Tran","Lorys","8/22/86"
"Jaana","Zschoche","12/3/86"
"Navin","Raney","5/13/86"
"Giordano","Soloway","3/26/86"
"Geoffrey","Hofman","1/17/86"
"Kannan","Schapire","9/25/86"
"Jayson","Swen","3/26/86"
"Munehiro","Docker","4/7/86"
"Kristian","Rando","4/10/86"
"Teunis","Pesch","11/4/86"
"Hidde","Gadepally","9/19/86"
"Leif","Whitcomb","4/21/86"
"Lenore","Birsak","5/9/86"
"Leen","Siochi","2/1/86"
"Mountaz","Taubenfeld","3/20/86"
"Collette","Quittner","8/23/86"
"Fen","Gyimothy","9/18/86"
"Uri","Oxman","9/8/86"
"Arunas","Reistad","9/1/86"
"Izaskun","Berztiss","10/15/86"
"Nidapan","Lores","1/10/86"
"Wilmer","Berstel","2/21/86"
"Phuoc","Peron","3/6/86"
"Yaghout","Benaini","6/20/86"
"Masako","Vigier","12/18/86"
"Guozhong","Ballarin","5/1/86"
"Guoxiang","Bernardeschi","6/27/86"
"Kiyotoshi","Huxford","9/7/86"
"Valeska","dAstous","7/28/86"
"Leon","Schlenzig","1/23/86"
"Mabry","Talmon","7/12/86"
"Duri","Pavlopoulou","5/29/86"
"Phule","Keohane","7/14/86"
"Tamiya","Pettey","11/10/86"
"Marko","Greibach","3/30/86"
"Adil","Katalagarianos","7/31/86"
"Odoardo","Malabarba","2/11/86"
"Franziska","Chiola","4/14/86"
"Seshu","Marsiglia","7/13/86"
"Abdelwaheb","Gustavson","11/14/86"
"Yolla","Pintelas","6/19/86"
"Georgy","Ghazalie","7/24/86"
"Gad","Peak","6/28/86"
"Sahrah","Ranon","1/28/86"
"Xiaocheng","Gronowski","8/13/86"
"Odysseas","Debuse","6/28/86"
"Alexius","Cunliffe","11/7/86"
"Ohad","Covnot","1/30/86"
"Zeydy","Muhling","3/29/86"
"Xiaoqiu","Goodrum","4/6/86"
"Fusako","Beetstra","12/10/86"
"Visit","Kragelund","2/12/86"
"Berto","Litecky","12/2/86"
"Mingdong","Byoun","9/17/86"
"Rance","Chartres","1/10/86"
"Baoqiu","Billingsley","11/6/86"
"Eben","Candan","6/28/86"
"Shushma","Stasinski","8/8/86"
"Mario","Orlowska","1/1/86"
"Shushma","Bressoud","6/29/86"
"Khosrow","Mullainathan","6/11/86"
"Randi","Passafiume","7/7/86"
"Hatsukazu","Rouquie","10/28/86"
"Qiwen","Busillo","6/12/86"
"Tua","Plump","11/25/86"
"Szabolcs","Salinas","7/17/86"
"Junsik","Orsini","7/2/86"
"Aksel","Demeyer","2/27/86"
"Thanasis","Perez","11/23/86"
"Seongbae","Dengi","5/2/86"
"Anneke","Leslie","11/16/86"
"Mads","Solovay","3/31/86"
"Hausi","Lampe","8/2/86"
"Mara","Besselaar","9/17/86"
"Arco","Ananiadou","2/16/86"
"Berry","Huhdanpaa","8/23/86"
"Kazuhiko","Smeets","9/28/86"
"Kauko","Lamparter","1/23/86"
"Marko","Siksek","7/15/86"
"Ennio","Gruenwald","7/3/86"
"Martijn","Conti","4/6/86"
"Hisao","Alblas","1/14/86"
"Lalit","Bhattacharjee","9/7/86"
"Yucai","Luan","8/22/86"
"Huei","Itzfeldt","5/29/86"
"Slavian","Krohm","11/28/86"
"Rosella","Kamble","7/27/86"
"Kannan","Sgarro","8/6/86"
"Tetsushi","Fetvedt","2/3/86"
"Yishai","Kushner","7/2/86"
"Maren","Kobara","2/7/86"
"Valter","Mitchem","9/13/86"
"Huiqun","Reutenauer","1/27/86"
"Moheb","Gruenwald","3/28/86"
"Kristof","Junot","10/4/86"
"Nectarios","Skogmar","2/17/86"
"Shuzo","Rosch","6/28/86"
"Marie","Zaumen","1/9/86"
"Horward","Janetzko","4/13/86"
"Gil","Spinelli","10/31/86"
"Kannan","Cooley","9/18/86"
"Odysseas","Kropf","2/8/86"
"Hironoby","dAstous","11/25/86"
"Mohua","Passafiume","4/9/86"
"Navin","Spieker","8/2/86"
"Abdelkader","Lieblein","5/28/86"
"Bedir","Scharstein","8/31/86"
"Almudena","Cannard","7/28/86"
"Mitchel","Comellas","9/28/86"
"Mohua","Biran","4/6/86"
"Leah","Merli","2/12/86"
"Taiji","Rathonyi","6/4/86"
"Susanna","Solares","5/31/86"
"Djelloul","Lorho","6/21/86"
"Jacopo","Basart","5/14/86"
"Shuji","Suwa","1/25/86"
"Heon","Turnbull","5/10/86"
"Emdad","Castellani","10/2/86"
"Shirish","Maraist","12/28/86"
"Gou","Lipner","8/31/86"
"Roddy","Sommen","1/23/86"
"Kauko","Kusakabe","2/3/86"
"Shimshon","Reghbati","12/19/86"
"Izaskun","Junet","10/22/86"
"Yurij","Plessier","11/12/86"
"Ekawit","Rosch","4/18/86"
"Hironoby","Bhattacharjee","4/24/86"
"Indrajit","Jahnichen","5/24/86"
"Hausi","Alvarado","12/18/86"
"Bokyung","Zeleznik","12/12/86"
"Niranjan","Maraist","3/5/86"
"Shay","Pashtan","8/7/86"
"Oscal","Marshall","1/22/86"
"Kensyu","Falco","8/24/86"
"Hausi","Juneja","11/3/86"
"Shem","Azadmanesh","11/17/86"
"Etsuo","Biros","6/9/86"
"Souichi","Chiola","10/23/86"
"Yahiko","Niizuma","2/23/86"
"Hitofumi","Casley","4/13/86"
"Anneli","Herbst","10/25/86"
"Aris","Frezza","8/25/86"
"Ulf","Denis","3/1/86"
"Junsik","Shumilov","4/22/86"
"Saniya","Byoun","5/13/86"
"Rafols","Pagter","6/20/86"
"Itzchak","Zuberek","2/24/86"
"Alagu","Spieker","12/23/86"
"Parto","Argence","9/27/86"
"Rosella","Asmuth","9/28/86"
"Moty","Ulupinar","7/13/86"
"Zhiguo","Garnick","6/25/86"
"Tooru","Perz","12/14/86"
"Manohar","Mansanne","11/3/86"
"Ayonca","Danlos","11/19/86"
"Giap","Varman","11/8/86"
"Henk","Pokrovskii","4/4/86"
"Fuqing","Baby","4/25/86"
"Jiang","Motley","2/28/86"
"Gina","Daescu","10/6/86"
"Chriss","Kavraki","8/31/86"
"Eldridge","Eiter","1/20/86"
"Anneli","Capobianchi","2/10/86"
"Shooichi","Masada","6/5/86"
"Josyula","Stifter","5/3/86"
"Leaf","Melton","7/12/86"
"Jinpo","McClurg","10/9/86"
"Souichi","Hanabata","9/2/86"
"Ortrun","Lunt","4/26/86"
"Idoia","Zielinski","2/26/86"
"Nadjib","Mitina","12/3/86"
"Kiam","Ebeling","10/1/86"
"Francesca","Rathonyi","1/4/86"
"Paraskevi","Kopetz","7/28/86"
"Aris","Rotem","5/13/86"
"Zhilian","Giarratana","11/23/86"
"Demos","Hartvigsen","5/13/86"
"Olivera","Gunderson","1/30/86"
"Abdulah","Asmuth","1/27/86"
"Along","Olano","5/4/86"
"Jahangir","Miyakawa","1/3/86"
"Valeska","Improta","6/6/86"
"Ziva","Baezner","12/2/86"
"Guangming","Thisen","12/17/86"
"Satoru","Pouyioutas","7/26/86"
"Jouko","Tsukune","9/13/86"
"Sanjai","Bhattacharjee","3/2/86"
"Arch","Coney","10/28/86"
"Limsoon","Krichel","2/8/86"
"Saniya","Rijckaert","1/18/86"
"Tua","Kumaresan","4/10/86"
"Martina","Koshino","6/16/86"
"Conor","Rohrbach","10/23/86"
"Yongqiao","Brodie","11/11/86"
"Mircea","Montemayor","11/24/86"
"Serif","Chenney","10/29/86"
"Unal","Binding","6/2/86"
"Mack","Luders","2/17/86"
"Froduald","Kumaresan","12/27/86"
"Shakhar","Baalen","5/31/86"
"Nitsan","Kampfer","7/28/86"
"Frazer","Litvinov","1/2/86"
"Tua","Peris","8/5/86"
"Torsten","Gips","2/6/86"
"Adam","Lung","7/2/86"
"Jaewoo","McDermid","4/29/86"
"Tsz","Gelosh","10/28/86"
"TRUE","Rousseau","7/26/86"
"Shaibal","Orlowski","2/11/86"
"Adly","Gecsei","1/8/86"
"Hirochika","Setlzner","9/22/86"
"Mayuri","Kulisch","8/21/86"
"Kazuhiko","Genin","7/7/86"
"Arvin","Ouhyoung","4/26/86"
"Yurii","Schrooten","2/24/86"
"Theirry","Mersereau","9/22/86"
"Genevieve","Varman","12/2/86"
"Anneke","Lupu","12/25/86"
"Lech","Melichar","9/4/86"
"Christoph","Lanteri","2/19/86"
"Bedrich","Kamber","4/20/86"
"Leucio","Stranks","1/15/86"
"Dekang","Awdeh","10/10/86"
"Rance","Shigei","12/27/86"
"Aamod","Ranka","11/17/86"
"Masasuke","Raczkowsky","4/16/86"
"Alair","Molenkamp","2/23/86"
"Feixiong","Pehl","3/30/86"
"Shih","Benantar","7/10/86"
"Lijie","Baca","5/20/86"
"Qiwen","Prenel","12/1/86"
"Sandeepan","Hanabata","6/30/86"
"Yuriy","Jording","9/18/86"
"Mingzeng","Bennet","5/16/86"
"Takushi","Harnett","9/3/86"
"Yurij","Angelov","12/9/86"
"Doowon","Thambidurai","1/22/86"
"Tonny","Ventosa","5/24/86"
"Alair","Warwick","9/14/86"
"Georg","Schreiter","11/21/86"
"Serenella","Akazan","3/3/86"
"Garnet","Kamble","5/6/86"
"Hugo","Nishimukai","11/23/86"
"Vatsa","Rothe","3/2/86"
"Elzbieta","Rohrbach","8/14/86"
"Lucien","Zedlitz","5/8/86"
"Baocai","Rusterholz","9/11/86"
"Divine","Verhoeff","9/14/86"
"Chiradeep","Cools","6/2/86"
"Navid","Mansanne","12/12/86"
"Duke","Zuberek","3/6/86"
"Nirmal","Talmon","4/15/86"
"Fumiyo","Levasseur","3/6/86"
"Niranjan","Schade","1/16/86"
"Randi","Bage","10/14/86"
"Udi","Soicher","2/9/86"
"Manu","Jansen","8/23/86"
"Dmitri","Staylopatis","5/13/86"
"Navid","Georgakopoulos","8/13/86"
"Manohar","Preusig","12/9/86"
"Xiaopeng","Cochrane","10/5/86"
"Susanne","Passino","11/27/86"
"Achilleas","Speer","2/4/86"
"Guenter","Shokrollahi","11/20/86"
"Aleksandar","Melter","1/8/86"
"Ghassan","Furudate","9/4/86"
"Ioana","Kalafatis","7/2/86"
"Filipp","Ritzmann","1/14/86"
"Florina","Olano","12/5/86"
"Pranav","Zastre","12/28/86"
"Sampalli","Chvatal","3/30/86"
"Yurii","Panangaden","10/31/86"
"Nahum","Pargas","8/1/86"
"Pasqua","Percebois","7/20/86"
"Alagu","Vasanthakumar","10/7/86"
"Shigeo","Penn","3/18/86"
"Zorica","Dalton","2/21/86"
"Huai","Bottner","4/9/86"
"Gudjon","Parfitt","8/4/86"
"Sakthirel","Morrey","4/14/86"
"Irena","Ruemmler","11/27/86"
"Neelam","Wilharm","3/29/86"
"Arnd","Sambasivam","8/10/86"
"Sedat","Oaver","9/9/86"
"Shuji","Erev","6/28/86"
"Fen","Aloia","8/18/86"
"Mamdouh","Furedi","12/12/86"
"Roded","Klyachko","10/9/86"
"Jeane","Pettis","2/7/86"
"Remmert","Vieri","2/9/86"
"Gill","Kusakabe","3/28/86"
"Xiaobin","McAffer","11/13/86"
"Alejandra","Bardell","7/14/86"
"Munir","Schieder","7/29/86"
"Parviz","Seuren","3/23/86"
"Chenyi","Ramalingam","1/9/86"
"Valeska","Rosen","7/10/86"
"Kazuhisa","Nations","1/18/86"
"Owen","Kakkad","8/27/86"
"Fumiko","Ushiama","9/24/86"
"Wayne","Homond","10/11/86"
"Tadahiro","Iivonen","3/24/86"
"Ult","Schach","4/4/86"
"Neven","Savasere","6/5/86"
"Alenka","Macedo","4/26/86"
"Vishv","Zultner","8/15/86"
"Marsja","Serna","4/14/86"
"Aiman","Wilfing","2/26/86"
"Bilhanan","Wilharm","7/29/86"
"Peternela","Chleq","1/12/86"
"Alper","Stifter","9/18/86"
"Godehard","Luga","3/14/86"
"Akeel","Bisiani","7/28/86"
"Adam","Morrin","9/23/86"
"Naftaly","Roisin","6/21/86"
"Tooru","Hagimont","5/6/86"
"Yuguang","Speek","12/8/86"
"Perry","Diderrich","9/20/86"
"Aamer","Molenaar","4/22/86"
"Clyde","Riexinger","5/9/86"
"Alexius","Bahr","1/27/86"
"Remzi","Kolinko","8/20/86"
"Khue","Benantar","1/18/86"
"Fox","Unni","10/14/86"
"Atreyi","Lunt","2/11/86"
"Zdislav","Greibach","4/30/86"
"Lunjin","Heyers","10/4/86"
"Jongsuk","Ashish","7/29/86"
"Gor","Solares","1/17/86"
"Shigeichiro","Vidal","1/31/86"
"Tokuyasu","Ertl","10/3/86"
"Nishit","Karnin","4/29/86"
"Alejandro","Carrera","6/4/86"
"Dines","Birsak","9/14/86"
"Sanjoy","Marletta","11/8/86"
"Yishai","Byoun","8/26/86"
"Takushi","Swan","5/26/86"
"Akeel","Birnbaum","6/30/86"
"Subhada","Munawer","3/8/86"
"Marco","Mahmud","12/30/86"
"Baziley","Fujisaki","7/24/86"
"Susanna","Stamatiou","5/18/86"
"Houman","Strehl","5/20/86"
"Bernd","Asrin","10/31/86"
"Ioana","Binding","12/18/86"
"Renny","Escriba","5/23/86"
"Giordano","Fairtlough","11/23/86"
"Huei","Gewali","7/3/86"
"Malu","Yetim","5/12/86"
"Brigham","Pollock","9/5/86"
"Baziley","Merks","7/27/86"
"Zongyan","Czaja","2/24/86"
"Heekeun","Isard","1/17/86"
"Uinam","Ponthieu","12/5/86"
"Alain","Bernick","1/24/86"
"Baruch","Klassen","3/17/86"
"Feixiong","Leaver","6/14/86"
"Stella","Marchegay","4/11/86"
"Elzbieta","Delgrossi","11/5/86"
"Constantine","Kumaresan","4/14/86"
"Zeljko","Langford","6/10/86"
"Mokhtar","Cusworth","3/23/86"
"Atreye","Hainaut","2/20/86"
"Vojin","Anick","9/4/86"
"Yakkov","Backhouse","3/9/86"
"Zhonghui","Brlek","4/29/86"
"Girolamo","Ruther","5/14/86"
"Halsur","Encarnacion","7/8/86"
"Wuxu","Duclos","3/30/86"
"Parviz","Ranai","1/21/86"
"Hidefumi","Peir","12/28/86"
"Slavian","Schach","10/26/86"
"Wojceich","Krupka","9/20/86"
"Takanari","Undy","5/27/86"
"Adas","Nitto","3/8/86"
"Yoshinari","Malinowski","1/23/86"
"Giri","Butterworth","3/17/86"
"Xumin","Matzen","9/27/86"
"Yannis","McClurg","2/23/86"
"Shao","Etalle","1/30/86"
"Lalit","Ozery","3/28/86"
"Yagil","Basart","3/26/86"
"Qunsheng","Emden","3/15/86"
"Ortrun","Bultermann","10/1/86"
"Franziska","Meriste","10/17/86"
"Satyanarayana","Rabejac","9/9/86"
"Sadun","Pfau","11/1/86"
"Alenka","Baba","9/6/86"
"Shietung","Tasistro","12/25/86"
"Arve","Figueira","2/5/86"
"Fumino","Schahn","9/9/86"
"Xiaocheng","Bellmore","9/11/86"
"Sachar","Rosis","12/7/86"
"Heejo","Vanwelkenhuysen","8/3/86"
"Xuedong","Heiserman","5/16/86"
"Yuriy","Conta","5/19/86"
"Cedric","Matzen","7/23/86"
"Ibibia","Schmiedel","2/13/86"
"Yakkov","Pfau","2/25/86"
"Heng","Sooriamurthi","3/5/86"
"Jovan","Osgood","10/23/86"
"Yahiko","Alameldin","9/26/86"
"Jessie","Barriga","3/24/86"
"Nechama","Erez","7/8/86"
"Youpyo","Delaune","8/30/86"
"Yongmao","Cincotta","11/24/86"
"Ung","Tsukune","10/14/86"
"Zissis","Sooriamurthi","1/21/86"
"Ulises","Muhlberg","12/7/86"
"Idoia","Narwekar","9/25/86"
"Zvonko","Gente","8/8/86"
"Troy","Candan","7/19/86"
"Aleksandar","Ranum","10/26/86"
"Tamiya","Marshall","10/4/86"
"Quingbo","Maliniak","4/6/86"
"Kiam","Zirintsis","6/14/86"
"Sudhanshu","Radivojevic","2/18/86"
"Toshimitsu","Wielonsky","7/26/86"
"Barna","Kamber","5/27/86"
"Domenick","Roisin","4/2/86"
"Vishv","Spelt","9/13/86"
"Georgi","Nergos","8/23/86"
"Adit","Armand","10/29/86"
"Sibyl","Jeong","7/28/86"
"Chenyi","Kushnir","10/27/86"
"Ranan","Stentiford","6/23/86"
"Ioana","Monarch","11/16/86"
"Sanjiv","Stanfel","12/13/86"
"Manibrata","Michaeli","5/24/86"
"Mohamadou","Masaki","7/29/86"
"Huan","Schonegge","3/28/86"
"Sergi","Garnier","10/6/86"
"Ingmar","Fabrizio","4/3/86"
"Frazer","Cappelletti","2/18/86"
"Lunjin","Siepmann","1/7/86"
"Katsuo","Kandlur","10/2/86"
"Wuxu","Rabehasaina","11/14/86"
"Anwar","Rehfuss","1/22/86"
"Suebskul","Levergood","11/19/86"
"Aloys","Denis","8/19/86"
"Erzsebet","Rabejac","8/30/86"
"Kazuyasu","Hettesheimer","7/27/86"
"Kauko","Stenning","9/25/86"
"Ayonca","Fioravanti","6/18/86"
"Adamantios","Rehfuss","9/19/86"
"Rafail","Henseler","9/26/86"
"Aleksandar","Sudkamp","10/26/86"
"Lokesh","Syrotiuk","10/1/86"
"DAIDA","Brookman","10/24/86"
"Gina","Falck","6/21/86"
"Aris","Stanfel","12/25/86"
"Jackson","Hoppenstand","6/29/86"
"Manibrata","Stiles","1/1/86"
"Nishit","Siochi","12/17/86"
"Domenick","Perz","12/6/86"
"Przemyslawa","Slaats","9/30/86"
"Jamaludin","Scharstein","1/5/86"
"Joydip","Stamatiou","6/1/86"
"Marc","Birta","8/24/86"
"Adit","Marakhovsky","6/22/86"
"Toshimori","Gist","6/29/86"
"Jaber","Prenel","4/28/86"
"Lech","Imataki","11/10/86"
"Sanjit","Preusig","6/6/86"
"Anyuan","Dalphin","8/15/86"
"Nidapan","Harbusch","7/17/86"
"Tsz","Reghbati","1/30/86"
"DeForest","Honglei","8/24/86"
"Jinya","Matzke","6/18/86"
"Baziley","Guenter","8/6/86"
"Moto","Engelmann","6/18/86"
"Satyanarayana","Georgatos","4/15/86"
"Yinghua","Ibel","1/6/86"
"Gunilla","Ashish","7/11/86"
"Keiichiro","Papsdorf","9/8/86"
"Aamer","Gammage","8/4/86"
"Serap","Srimani","11/30/86"
"Youpyo","Schiper","2/1/86"
"Sorina","Whitcomb","11/1/86"
"Fabrizio","Tsukune","10/27/86"
"Christoper","Farrel","4/30/86"
"Mohammad","Denos","4/9/86"
"Annemarie","Thorelli","6/24/86"
"Billur","Ellozy","1/16/86"
"Masamitsu","Rodiger","10/18/86"
"Shichao","Baby","5/13/86"
"Makato","Kobara","12/24/86"
"Rildo","Francisci","2/27/86"
"Sivanarayana","Kopetz","3/14/86"
"Taizo","Kavvadias","4/11/86"
"Seongbae","Koyama","12/31/86"
"Irena","Middleton","7/10/86"
"Ronghao","Basagni","10/13/86"
"Zhiguo","Demizu","10/29/86"
"Fumiya","Rebaine","11/20/86"
"Sungwon","Rajcani","8/23/86"
"Georgi","Daescu","2/6/86"
"Aron","Yavatkar","6/15/86"
"Prasadram","Domenig","4/22/86"
"Keung","Setlzner","6/23/86"
"Shridhar","Kaminger","12/16/86"
"Yuichiro","Teitelbaum","9/21/86"
"Shunichi","Delaune","2/10/86"
"Rimli","Daescu","8/12/86"
"Pradeep","Caine","12/6/86"
"Mark","Godskesen","3/26/86"
"Abdelghani","Gecseg","4/23/86"
"Vincent","Kambil","1/19/86"
"Khun","Spinelli","4/5/86"
"Barton","Menyhert","3/11/86"
"Leon","Greenaway","9/23/86"
"Ramzi","Capobianchi","3/26/86"
"Takushi","Orlowski","3/18/86"
"Odoardo","Heuser","6/20/86"
"Hsiangchu","Perfilyeva","12/30/86"
"Kristof","Steinauer","4/27/86"
"Stabislas","Kalloufi","8/17/86"
"Reinhold","Miculan","11/14/86"
"Berhard","Adachi","4/14/86"
"Sumant","Murthy","8/26/86"
"Mansur","Quittner","7/19/86"
"Neelam","Bottner","5/19/86"
"Mario","Rande","4/1/86"
"Basil","Oppitz","11/9/86"
"Conal","Garrabrants","4/10/86"
"Remko","Erdi","4/26/86"
"Duro","Hofting","2/22/86"
"Chaosheng","Maierhofer","1/13/86"
"Amstein","Jeansoulin","10/31/86"
"Shushma","Khalil","3/25/86"
"Giordano","Salverda","5/6/86"
"Nadjib","Ranum","4/15/86"
"Huei","Michaels","8/16/86"
"Shigeo","Gonthier","2/5/86"
"Adin","Flanders","9/2/86"
"Dekang","Terekhov","8/6/86"
"Elvia","Leivant","7/27/86"
"Kwok","Auyong","1/7/86"
"Oldrich","Pramanik","11/21/86"
"Atreyi","Carrera","8/25/86"
"Michaela","Gargeya","12/14/86"
"Arunas","Yetim","4/13/86"
"Paloma","Dratva","1/26/86"
"Berna","Aloia","3/21/86"
"Chuanti","Anick","8/27/86"
"Martien","Uchoa","2/22/86"
"Rildo","Savasere","11/12/86"
"Phillip","Bernardinello","6/15/86"
"Huiqun","Yeung","5/1/86"
"Zhigen","Goodrum","8/8/86"
"Alagu","Braunschweig","8/29/86"
"Jacqueline","Lamma","4/27/86"
"Collette","Erdi","1/18/86"
"Manibrata","Lanphier","12/26/86"
"Yefim","Fraisse","8/17/86"
"Phule","Ramsak","10/7/86"
"Qiwen","Alameldin","11/14/86"
"DeForest","Denti","5/2/86"
"Lucian","Birrer","9/29/86"
"Yagil","Ventosa","8/5/86"
"Ekawit","Manderick","2/17/86"
"Zhaofang","Schade","11/7/86"
"Hinrich","Akaboshi","4/2/86"
"Vasilii","Pokrovskii","3/19/86"
"Xudong","Morrin","7/14/86"
"Temple","Willoner","10/14/86"
"Venkatesan","Staelin","8/4/86"
"Sven","Walston","7/6/86"
"Lijie","Ramsay","12/13/86"
"Brigham","Bressoud","6/17/86"
"Jasminko","Shihab","7/5/86"
"Shai","Zolotykh","8/24/86"
"Eric","Reghbati","8/21/86"
"Moon","Ozeri","9/4/86"
"Subhrajyoti","Maliniak","11/5/86"
"Jayson","Frijda","10/13/86"
"Kenton","Matteis","1/9/86"
"Francoise","Birch","4/4/86"
"Uri","Sluis","10/25/86"
"Along","Pesch","12/7/86"
"Weiru","Koshiba","2/8/86"
"Kish","Perelgut","4/1/86"
"Manibrata","Rosti","10/28/86"
"Udaiprakash","Fandrianto","9/23/86"
"Georg","Haddadi","10/20/86"
"Tayeb","Pusterhofer","9/11/86"
"Shuzo","Murtafg","4/12/86"
"Abdelwaheb","Hasenauer","3/17/86"
"Lucian","Honiden","2/12/86"
"Bernice","Bardell","8/12/86"
"Herbert","Atrawala","5/2/86"
"Lobel","Heusch","5/23/86"
"Sadun","Merel","10/30/86"
"Sanjai","Hagimont","9/10/86"
"Roded","Veevers","1/26/86"
"KayLiang","Babu","5/25/86"
"Hsiangchu","Foong","1/13/86"
"Teruyuki","Zultner","3/8/86"
"Yongmin","Vanwelkenhuysen","5/29/86"
"Golgen","Rabejac","1/4/86"
"Candida","Swan","2/20/86"
"Alper","Lammel","1/20/86"
"Lenore","Kieras","9/2/86"
"Mohamadou","Verhaegen","12/19/86"
"Guadalupe","Zirintsis","4/1/86"
"Emran","Delgrange","5/9/86"
"Tua","Denos","5/25/86"
"Jaroslava","Speckmann","12/30/86"
"Aiichiro","Lundstrom","2/2/86"
"Aloke","Glinert","1/3/86"
"Karlis","Merkl","3/25/86"
"Aiman","Suppi","5/4/86"
"Iara","Heinisuo","5/2/86"
"Xinan","Ranze","4/12/86"
"Hongzue","Erman","3/24/86"
"Jixiang","Serre","10/29/86"
"Leandro","Krone","9/25/86"
"Howell","Renear","5/6/86"
"Yuichiro","Pettit","6/13/86"
"Eric","Auria","2/24/86"
"Renny","Harllee","4/4/86"
"Naraig","Aumann","12/25/86"
"Hatsukazu","Gilg","3/24/86"
"Moriyoshi","Cannata","2/17/86"
"Yechezkel","Wegerle","3/31/86"
"Phuoc","Thorensen","6/7/86"
"Ottavia","Rodier","3/13/86"
"Sugwoo","Swiler","3/2/86"
"Kish","Farris","12/30/86"
